LARSA	AudioTools 	v17.23 (2) iPad battery  10%	2025/6/28 17:01	iMM-6C L Mic低范围	2EFF2T3B-3CD5-42D8-9221-2ADE9AG0FDE2
Average Magnitude Test
Smoothing	Compensation
None	Applied
Frequency	Magnitude
2597.2	10.92
2635	11.94
2673.3	11.45
2712.2	11.3
2751.7	10.84
2791.7	11.31
2832.3	10.22
2873.5	8.82
2915.3	10.48
2957.7	10.52
3000.7	11.8
3044.4	12.41
3088.6	11.52
3133.6	11.24
3179.1	11.12
3225.4	10.37
3272.3	9.71
3319.9	10.61
3368.2	10.55
3417.2	10.18
3466.9	10.16
3517.3	9.74
3568.5	10.53
3620.4	10.36
3673	8.65
3726.5	9.93
3780.7	10.05
3835.6	11.1
3891.4	10.65
3948	10.55
4005.5	10.97
4063.7	10.67
4122.8	10.54
4182.8	11.38
4243.6	10.92
4305.4	12.8
4368	12.58
4431.5	11.84
4496	11.7
4561.4	10.81
4627.7	11.11
4695	11.46
4763.3	11.12
4832.6	10.41
4902.9	11.7
4974.2	10.03
5046.6	9.06
5120	9.78
5194.4	9.37
5270	9.2
5346.7	9.7
5424.4	10.3
5503.3	10.36
5583.4	11.21
5664.6	12.14
5747	11.67
5830.6	12.5
5915.4	13.19
6001.4	12.81
6088.7	12.74
6177.3	13.32
6267.1	12.15
6358.3	11.3
6450.8	11.54
6544.6	10.43
6639.8	11.16
6736.4	11.26
6834.3	10.92
6933.7	12.06
7034.6	12.79
7136.9	12.9
7240.7	12.58
7346	12.98
7452.9	13.68
7561.3	14.23
7671.3	13.23
7782.9	12.34
7896.1	12.21
8010.9	12.17
8127.4	12.21
8245.7	11.66
8365.6	11.47
8487.3	13.37
8610.7	14.11
8736	13.36
8863	13.63
8992	13.09
9122.7	12.66
9255.4	11.92
9390.1	10.26
9526.6	10.3
9665.2	10.86
9805.8	11.49
9948.4	11.87
10093.1	11.27
10239.9	12.05
10388.9	11.68
10540	10.33
10693.3	9.68
10848.8	10.06
11006.6	10.24
11166.7	10.81
11329.1	12.36
11493.9	13.26
11661.1	12.24
11830.7	11.35
12002.8	10.95
12177.4	10.25
12354.5	7.83
12534.2	8.37
12716.5	10.37
12901.5	10
13089.2	11.21
13279.5	11.03
13472.7	9.72
13668.7	8.46
13867.5	9.35
14069.2	10.06
14273.8	11.91
14481.4	12.75
14692.1	11.66
14905.8	9.89
15122.6	7.2
15342.6	5.97
15565.7	7.15
15792.1	8.94
16021.8	10.78
16254.9	11.16
16491.3	12.24
16731.2	10.79
16974.5	10.72
17221.4	10.66
17471.9	10.99
17726.1	8.53
17983.9	7.67
18245.5	6.24
18510.9	3.55
18780.1	1.38
19053.3	-0.43
19330.4	-1.52
19611.6	-2.65
19896.8	-3.15
20186.2	-3.14
20479.9	-4.04
20777.7	-4.83
21080	-6.16
21386.6	-6.32
